Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,10pF,
"C10, C11, C12, C3, C4, C5, C6, C7, C8, C9",1206,10,10uF,
"C13, C16, C20, C21, C22, C23, C27, C28",0402,8,100nF,
"C14, C24, C25",0603,3,1uF,
C15,0603,1,47nF,
"C17, C18, C19",0603,3,1nF,
C26,1206,1,22uF,
C29,CP_Elec_6.3x7.7,1,100uF,
"CN1, CN4, CN5, CN6",CONN-SMD_3P-P1.00_MEGASTAR_ZX-SH1.0-3PWT,4,ZX-SH1.0-3PWT,C7430445
"CN2, CN3",CONN-SMD_4P-P1.25_XUNPU_WAFER-GH1.25-4PWB,2,WAFER-GH1.25-4PWB,C3029379
D1,D_SOD-123,1,4.7V Zener,
D2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,PESD2CANFD24V-K,C5278878
D3,D_SMB,1,26V,
FB1,0603,1,600@100MHz,
J2,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,PWR IN,
J3,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,PWR OUT,
L1,IND-SMD_L4.0-W4.0,1,47uH,C18222004
M1,SolderWirePad_1x01_SMD_2x4mm,1,A,
M2,SolderWirePad_1x01_SMD_2x4mm,1,B,
M3,SolderWirePad_1x01_SMD_2x4mm,1,C,
Q1,SOT-23,1,2N7002,
R1,0603,1,120,
"R10, R11, R13, R14, R9",0603,5,10k,
"R12, R2, R7",0603,3,100k,
R3,0603,1,22k,
"R4, R5, R6, R8",0603,4,100,
U1,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,1,STM32G431CBT6,C529355
U2,VQFN-40_L7.0-W5.0-P0.50-BL-EP5.7,1,DRV8316CRRGFR,C5447274
U3,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,SN65HVD230DR,C12084
U4,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL-1,1,MT6816CT-AKD-R,C2987620
X1,CRYSTAL-SMD_4P-L2.0-W1.6-BL-A,1,XL7EL89CKI-111YLC-24M,C2965580
