Designator,Mid X,Mid Y,Rotation,Layer
C1,119.8,-42.32,180.0,top
C10,128.99,-79.1,90.0,top
C11,132.0,-79.1,90.0,top
C12,135.01,-79.1,90.0,top
C13,141.7,-69.1,270.0,top
C14,137.6,-61.6,90.0,top
C15,137.3,-70.1,180.0,top
C16,122.1,-70.58,270.0,bottom
C17,121.8,-55.375,90.0,top
C18,123.48,-55.375,90.0,top
C19,125.2,-55.375,90.0,top
C2,119.9,-45.52,0.0,top
C20,130.55,-51.7,270.0,top
C21,133.975,-42.875,0.0,top
C22,125.05,-39.425,90.0,top
C23,129.05,-51.7,270.0,top
C24,133.05,-51.775,270.0,top
C25,140.05,-69.8,180.0,bottom
C26,132.5,-72.8,270.0,top
C27,119.9,-46.8,0.0,top
C28,119.9,-47.9,180.0,top
C29,117.385,-74.845,180.0,top
C3,135.02,-83.84,270.0,top
C4,132.01,-83.84,270.0,top
C5,129.0,-83.84,270.0,top
C6,125.99,-83.84,270.0,top
C7,122.98,-83.84,270.0,top
C8,122.97,-79.1,90.0,top
C9,125.98,-79.1,90.0,top
CN1,111.1081,-40.2157,200.0,top
CN2,103.6146,-45.0803,220.0,top
CN3,97.582,-52.2768,240.0,top
CN4,143.66234,-53.705848,115.0,top
CN5,113.79,-58.79,270.0,top
CN6,120.15,-38.63,180.0,top
D1,136.8,-57.3,180.0,top
D2,104.59,-52.8,0.0,top
D3,109.6,-68.2,293.0,top
FB1,130.7,-54.5,90.0,top
H1,118.0,-89.4,0.0,top
H3,140.8,-48.6,0.0,top
H4,97.1,-76.2,0.0,top
J2,98.1,-65.5,90.0,top
J3,108.54202621821827,-79.77432106790673,142.5,top
L1,136.1,-73.3,0.0,top
M1,146.8,-68.7,90.0,top
M2,146.8,-65.15,90.0,top
M3,146.8,-61.6,90.0,top
Q1,142.575,-59.175,180.0,top
R1,107.255,-48.24,270.0,top
R10,131.7,-62.0,180.0,bottom
R11,125.6,-68.0,0.0,bottom
R12,119.9,-49.4,0.0,top
R13,119.9,-51.0,180.0,top
R14,136.51,-46.02,180.0,bottom
R2,135.2,-60.0,90.0,top
R3,139.1,-59.2,180.0,top
R4,121.8,-58.385,90.0,top
R5,123.48,-58.385,90.0,top
R6,125.2,-58.385,90.0,top
R7,141.275,-56.5,180.0,bottom
R8,139.15,-54.25,90.0,bottom
R9,126.45,-38.95,90.0,top
U1,127.8,-45.62,180.0,top
U2,137.1,-65.92,0.0,top
U3,110.7,-52.7775,0.0,top
U4,120.0,-65.0,270.0,bottom
X1,119.86,-43.92,180.0,top
